miRNA,Target Gene
mmu-let-7g-3p,Prr14l
mmu-let-7g-3p,Ank3
mmu-let-7g-3p,Cpd
mmu-let-7g-3p,Rims3
mmu-let-7g-3p,Tnc
mmu-let-7g-3p,Crebrf
mmu-let-7g-3p,Sel1l
mmu-let-7g-3p,Slc38a1
mmu-let-7g-3p,Pkn2
mmu-let-7g-3p,Rims3
mmu-let-7g-3p,Adamts15
mmu-let-7g-3p,Kmt2c
mmu-let-7g-3p,Pde6h
mmu-let-7g-3p,Mphosph9
mmu-let-7g-3p,Fnip2
mmu-let-7g-3p,Ank3
mmu-let-7g-3p,Entpd7
mmu-let-7g-5p,Ccdc88c
mmu-let-7g-5p,Mga
mmu-let-7g-5p,Flg2
mmu-let-7g-5p,Mga
mmu-let-7g-5p,Pou2f1
mmu-let-7g-5p,Lgi2
mmu-let-7g-5p,Nup210
mmu-let-7g-5p,Zbtb34
mmu-let-7g-5p,Zfp608
mmu-let-7g-5p,Mdga1
mmu-let-7g-5p,Chd9
mmu-let-7g-5p,Macf1
mmu-let-7g-5p,Ryr3
mmu-let-7g-5p,Ttn
mmu-let-7g-5p,Ncoa2
mmu-let-7g-5p,Ttn
mmu-let-7g-5p,Pak3
mmu-let-7g-5p,Nbeal1
mmu-let-7g-5p,Pak3
mmu-let-7g-5p,Zfp142
mmu-let-7g-5p,Ttn
mmu-let-7g-5p,Col4a3
mmu-let-7g-5p,Rimbp3
mmu-let-7g-5p,Macf1
mmu-let-7g-5p,Syne2
mmu-let-7g-5p,Preb
mmu-let-7g-5p,Snx19
mmu-let-7g-5p,Dnah17
mmu-let-7g-5p,Ttn
mmu-let-7g-5p,Ttn
mmu-let-7i-3p,Hecw1
mmu-let-7i-3p,Ank3
mmu-let-7i-3p,Runx1t1
mmu-let-7i-3p,Mob3b
mmu-let-7i-3p,Ptprf
mmu-let-7i-3p,Entpd7
mmu-let-7i-3p,Zbtb40
mmu-let-7i-3p,Otog
mmu-let-7i-3p,Zyg11b
mmu-let-7i-3p,Cachd1
mmu-let-7i-3p,Runx1t1
mmu-let-7i-3p,Ttll7
mmu-let-7i-3p,Ttc14
mmu-let-7i-3p,Gon4l
mmu-let-7i-3p,Fnip2
mmu-let-7i-3p,Zc3h4
mmu-let-7i-3p,Bche
mmu-let-7i-3p,Pafah1b1
mmu-let-7i-3p,Zc3h4
mmu-let-7i-3p,Heatr1
mmu-let-7i-3p,Chd2
mmu-let-7i-3p,Ank3
mmu-let-7i-3p,Tbc1d32
mmu-let-7i-3p,Chd2
mmu-let-7i-3p,Ank3
mmu-let-7i-3p,Ank3
mmu-let-7i-3p,Pafah1b1
