,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
496,HF_3mesi:setA_1,mmu-miR-489-001302,39.115,40.0,40.0,39.705,0.0,40.0,40.0,0.0,1.489,0.0,0.0,1.489,0.0,0.284,0.284,0.0,
497,"LF_3mesi,setA_1",mmu-miR-489-001302,40.0,40.0,40.0,40.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
498,HF_3mesi:setA_1,mmu-miR-490-001037,40.0,40.0,40.0,40.0,31.877,31.628,31.7525,0.0,0.0,0.0,0.661,0.661,1.442,0.689,1.0655,0.0,
499,"LF_3mesi,setA_1",mmu-miR-490-001037,40.0,40.0,39.168,39.7226666666667,31.907,30.906,31.4065,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
500,HF_3mesi:setA_1,mmu-miR-491-001630,32.156,32.221,31.183,31.8533333333333,33.893,35.986,34.9395,33.5252799987793,0.511,2.983,1.779,1.75766666666667,3.013,0.067,1.54,0.651014924049377,
501,"LF_3mesi,setA_1",mmu-miR-491-001630,31.499,33.362,31.779,32.2133333333333,34.987,31.9,33.4435,33.7574577331543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
502,HF_3mesi:setA_1,mmu-miR-493-002519,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
503,"LF_3mesi,setA_1",mmu-miR-493-002519,40.0,40.0,40.0,40.0,0.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
504,HF_3mesi:setA_1,mmu-miR-494-002365,30.638,31.849,30.066,30.851,34.001,32.994,33.4975,0.0,0.548,0.504,1.312,0.788,1.313,0.422,0.8675,0.0,
505,"LF_3mesi,setA_1",mmu-miR-494-002365,30.082,30.425,30.223,30.2433333333333,33.897,31.562,32.7295,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
